,mass,ctau_for_eps10em2,ctau_for_eps10em4,ctau_for_eps10em6,ctau_for_eps10em8,br_zdtosm
2517,25390,4.1961106273030586e-12,4.1961106273030584e-08,0.0004196110627303059,4.196110627303058,0.14168640330385265
2518,25400,4.194334968671723e-12,4.194334968671723e-08,0.0004194334968671724,4.1943349686717255,0.14168295530258002
2519,25410,4.192559321141877e-12,4.192559321141877e-08,0.00041925593211418764,4.192559321141877,0.14167946095218714
2520,25420,4.190785054581519e-12,4.19078505458152e-08,0.0004190785054581519,4.19078505458152,0.14167596656324466
2521,25430,4.189012167344291e-12,4.189012167344291e-08,0.0004189012167344291,4.189012167344291,0.14167247213550746
2522,25440,4.187240657786398e-12,4.187240657786398e-08,0.00041872406577863984,4.187240657786398,0.14166897766873046
2523,25450,4.185470524266619e-12,4.1854705242666206e-08,0.000418547052426662,4.18547052426662,0.14166548316266842
2524,25460,4.183701765146304e-12,4.183701765146304e-08,0.0004183701765146304,4.183701765146304,0.14166198861707602
2525,25470,4.18193437878936e-12,4.18193437878936e-08,0.000418193437878936,4.18193437878936,0.14165849403170774
2526,25480,4.180168363562249e-12,4.1801683635622485e-08,0.00041801683635622484,4.180168363562248,0.14165499940631798
2527,25490,4.1784037178339936e-12,4.1784037178339936e-08,0.00041784037178339937,4.1784037178339934,0.14165150474066113
2528,25500,4.176640439976148e-12,4.176640439976149e-08,0.00041766404399761495,4.17664043997615,0.14164801003449115
2529,25510,4.1748785283628265e-12,4.1748785283628254e-08,0.0004174878528362826,4.174878528362826,0.14164451528756228
2530,25520,4.17311798137066e-12,4.1731179813706594e-08,0.000417311798137066,4.17311798137066,0.14164102049962835
2531,25530,4.171358797378822e-12,4.1713587973788215e-08,0.0004171358797378821,4.171358797378821,0.1416375256704431
2532,25540,4.169600974769013e-12,4.169600974769013e-08,0.00041696009747690135,4.169600974769013,0.14163403079976028
2533,25550,4.167844511925449e-12,4.1678445119254494e-08,0.0004167844511925449,4.167844511925448,0.1416305358873334
2534,25560,4.166089407234871e-12,4.166089407234872e-08,0.0004166089407234871,4.16608940723487,0.14162704093291592
2535,25570,4.16433565908652e-12,4.164335659086522e-08,0.00041643356590865215,4.164335659086522,0.1416235459362611
2536,25580,4.162583265872158e-12,4.1625832658721586e-08,0.00041625832658721585,4.162583265872159,0.14162005089712212
2537,25590,4.16083222598603e-12,4.160832225986031e-08,0.000416083222598603,4.160832225986031,0.14161655581525204
2538,25600,4.1590825378249e-12,4.159082537824899e-08,0.00041590825378248997,4.1590825378249,0.14161306069040375
2539,25610,4.1573328284656986e-12,4.1573328284656986e-08,0.00041573328284657,4.157332828465699,0.14160951881154246
2540,25620,4.155584468853552e-12,4.155584468853551e-08,0.0004155584468853551,4.155584468853551,0.1416059768938508
2541,25630,4.153837457391242e-12,4.1538374573912426e-08,0.00041538374573912433,4.1538374573912415,0.14160243493708136
2542,25640,4.152091792484053e-12,4.1520917924840535e-08,0.0004152091792484053,4.152091792484053,0.14159889294098646
2543,25650,4.150347472539735e-12,4.1503474725397345e-08,0.0004150347472539736,4.1503474725397345,0.14159535090531822
2544,25660,4.148604495968498e-12,4.1486044959684987e-08,0.00041486044959684984,4.1486044959685,0.14159180882982886
2545,25670,4.146862861183035e-12,4.1468628611830353e-08,0.00041468628611830363,4.146862861183036,0.14158826671427013
2546,25680,4.1451225665984876e-12,4.145122566598488e-08,0.00041451225665984883,4.145122566598488,0.14158472455839408
2547,25690,4.143383610632461e-12,4.1433836106324604e-08,0.000414338361063246,4.14338361063246,0.14158118236195227
2548,25700,4.141645991704993e-12,4.141645991704994e-08,0.00041416459917049936,4.141645991704995,0.14157764012469629
2549,25710,4.139909708238593e-12,4.1399097082385925e-08,0.00041399097082385917,4.139909708238593,0.14157409784637762
2550,25720,4.138174758658192e-12,4.138174758658192e-08,0.0004138174758658192,4.138174758658192,0.14157055552674755
2551,25730,4.1364411413911626e-12,4.136441141391163e-08,0.0004136441141391164,4.136441141391163,0.14156701316555728
2552,25740,4.134708854867316e-12,4.1347088548673157e-08,0.00041347088548673167,4.134708854867316,0.14156347076255782
2553,25750,4.132977897518879e-12,4.132977897518878e-08,0.00041329778975188793,4.132977897518878,0.14155992831750008
2554,25760,4.1312482677805045e-12,4.1312482677805056e-08,0.00041312482677805055,4.1312482677805065,0.14155638583013494
2555,25770,4.129519964089272e-12,4.129519964089272e-08,0.0004129519964089272,4.129519964089272,0.141552843300213
2556,25780,4.127792984884657e-12,4.127792984884656e-08,0.0004127792984884656,4.127792984884655,0.1415493007274848
2557,25790,4.1260673286085545e-12,4.1260673286085556e-08,0.00041260673286085554,4.126067328608555,0.1415457581117008
2558,25800,4.12434299370526e-12,4.1243429937052606e-08,0.00041243429937052597,4.12434299370526,0.14154221545261125
2559,25810,4.122618606124815e-12,4.122618606124815e-08,0.0004122618606124816,4.1226186061248145,0.14153862562911707
2560,25820,4.120895538028922e-12,4.120895538028922e-08,0.0004120895538028922,4.120895538028922,0.1415350357665665
2561,25830,4.119173787867662e-12,4.1191737878676624e-08,0.0004119173787867663,4.119173787867663,0.14153144586470945
2562,25840,4.1174533540934845e-12,4.1174533540934864e-08,0.0004117453354093486,4.1174533540934855,0.14152785592329548
2563,25850,4.115734235161248e-12,4.115734235161248e-08,0.0004115734235161248,4.115734235161248,0.14152426594207407
2564,25860,4.114016429528163e-12,4.114016429528164e-08,0.00041140164295281635,4.1140164295281645,0.14152067592079468
2565,25870,4.112299935653835e-12,4.1122999356538336e-08,0.00041122999356538333,4.112299935653835,0.14151708585920653
2566,25880,4.110584752000221e-12,4.1105847520002233e-08,0.0004110584752000222,4.110584752000221,0.1415134957570587
2567,25890,4.108870877031654e-12,4.108870877031656e-08,0.00041088708770316556,4.108870877031657,0.14150990561410026
2568,25900,4.107158309214819e-12,4.107158309214819e-08,0.00041071583092148193,4.107158309214819,0.14150631543007994
2569,25910,4.105447047018756e-12,4.105447047018756e-08,0.0004105447047018755,4.105447047018756,0.14150272520474655
2570,25920,4.103737088914857e-12,4.103737088914856e-08,0.00041037370889148567,4.103737088914857,0.14149913493784858
2571,25930,4.102028433376858e-12,4.102028433376858e-08,0.0004102028433376858,4.102028433376858,0.14149554462913455
2572,25940,4.100321078880839e-12,4.1003210788808386e-08,0.000410032107888084,4.100321078880839,0.14149195427835268
